TimeStamp,Frequency,feeling_positive,feeling_negative,Class
17,1,1,0,Reader_2_10.csv
17,4,1,3,Reader_2_11.csv
17,10,5,5,Reader_2_12.csv
17,1,1,0,Reader_2_2.csv
17,8,2,6,Reader_2_3.csv
17,2,1,1,Reader_2_4.csv
17,0,0,0,Reader_2_5.csv
17,1,1,0,Reader_2_6.csv
17,0,0,0,Reader_2_7.csv
17,1,1,0,Reader_2_8.csv
17,0,0,0,Reader_2_9.csv
17,74,59,15,reader_3_1.csv
17,60,50,10,Reader_3_2.csv
17,21,15,6,Reader_3_3.csv
17,21,15,6,Reader_3_4.csv
17,12,10,2,Reader_3_5.csv
17,22,17,5,Reader_3_6.csv
17,6,5,1,Reader_3_7.csv
18,29,17,12,Reader_1_1.csv
18,2,2,0,Reader_1_10.csv
18,9,5,4,Reader_1_11.csv
18,1,0,1,Reader_1_12.csv
18,4,3,1,Reader_1_2.csv
18,2,1,1,Reader_1_3.csv
18,0,0,0,Reader_1_4.csv
18,17,14,3,Reader_1_5.csv
18,2,2,0,Reader_1_6.csv
18,2,2,0,Reader_1_7.csv
18,0,0,0,Reader_1_8.csv
18,0,0,0,Reader_1_9.csv
18,12,11,1,Reader_2_1.csv
18,1,1,0,Reader_2_10.csv
18,2,1,1,Reader_2_11.csv
18,9,4,5,Reader_2_12.csv
18,1,1,0,Reader_2_2.csv
18,9,2,7,Reader_2_3.csv
18,2,2,0,Reader_2_4.csv
18,0,0,0,Reader_2_5.csv
18,1,1,0,Reader_2_6.csv
18,0,0,0,Reader_2_7.csv
18,0,0,0,Reader_2_8.csv
18,0,0,0,Reader_2_9.csv
18,71,58,13,reader_3_1.csv
18,57,49,8,Reader_3_2.csv
18,22,14,8,Reader_3_3.csv
18,22,14,8,Reader_3_4.csv
18,10,8,2,Reader_3_5.csv
18,21,17,4,Reader_3_6.csv
18,6,5,1,Reader_3_7.csv
19,33,21,12,Reader_1_1.csv
19,2,2,0,Reader_1_10.csv
19,8,7,1,Reader_1_11.csv
19,1,0,1,Reader_1_12.csv
19,8,5,3,Reader_1_2.csv
19,3,2,1,Reader_1_3.csv
19,1,0,1,Reader_1_4.csv
19,19,15,4,Reader_1_5.csv
19,2,2,0,Reader_1_6.csv
19,1,1,0,Reader_1_7.csv
19,0,0,0,Reader_1_8.csv
19,0,0,0,Reader_1_9.csv
19,10,9,1,Reader_2_1.csv
19,1,1,0,Reader_2_10.csv
19,1,0,1,Reader_2_11.csv
19,8,3,5,Reader_2_12.csv
